File,Algo,INP_SNR,OUT_SNR,SNR_Improv,SegSNR_In,SegSNR_Out,SegSNR_Improv,STOI_In,STOI_Out,STOI_Improv,MOS_S_In,MOS_S_Out,MOS_S_Improv,MOS_A_In,MOS_A_Out,MOS_A_Improv
input_-6.62dB,WebRTC,-7.719808,-4.238024,3.481784,-7.370747,-6.082738,1.288009,0.619530,0.567492,-0.052038,2.569653,2.731678,0.162026,3.464666,3.732057,0.267391
input_-6.62dB,sqa,-7.719808,-1.007753,6.712055,-7.370747,-3.954344,3.416403,0.619530,0.587059,-0.032472,2.569653,2.665851,0.096198,3.464666,3.415003,-0.049663
input_-6.62dB,RNN,-7.719808,4.394803,12.114610,-7.370747,-0.236734,7.134013,0.619530,0.658014,0.038484,2.569653,3.056521,0.486868,3.464666,3.874168,0.409502
input_-6.62dB,RW,-7.719808,4.005503,11.725310,-7.370747,-1.427380,5.943367,0.619530,0.659644,0.040114,2.569653,3.059391,0.489738,3.464666,3.881890,0.417224
input_-6.62dB,RS,-7.719808,4.191043,11.910851,-7.370747,-0.714701,6.656046,0.619530,0.662551,0.043021,2.569653,3.067019,0.497366,3.464666,3.891634,0.426967
input_-6.62dB,RWPV,-7.719808,4.075538,11.795346,-7.370747,-1.381405,5.989342,0.619530,0.661460,0.041930,2.569653,3.035764,0.466111,3.464666,3.887206,0.422540
input_-6.62dB,RSPV,-7.719808,4.248017,11.967824,-7.370747,-0.667366,6.703382,0.619530,0.663822,0.044292,2.569653,3.039310,0.469657,3.464666,3.896935,0.432269
input_-6.62dB,RWADAPV,-7.719808,3.861995,11.581803,-7.370747,-1.514167,5.856581,0.619530,0.659050,0.039520,2.569653,3.019134,0.449481,3.464666,3.875294,0.410628
input_-6.62dB,RSADAPV,-7.719808,4.206550,11.926358,-7.370747,-0.698045,6.672703,0.619530,0.660826,0.041296,2.569653,3.038954,0.469301,3.464666,3.893861,0.429195
input_-3.56dB,WebRTC,-4.659812,-4.254211,0.405602,-6.122001,-5.968336,0.153665,0.596469,0.539248,-0.057221,2.375798,2.505057,0.129259,3.552558,3.695197,0.142639
